"","Depth","Well_Number","Sample_Number","Col2","Statistic","X.Cells","Batch","Visit"
"4","> > > ","C1","1002","V2.fcs/scatter/live/Single Cells",98.8,247983,"1","Before"
"25","> > > ","C2","1002","V3.fcs/scatter/live/Single Cells",99.2,186278,"1","After"
"46","> > > ","C3","1004","V2.fcs/scatter/live/Single Cells",99.2,6011,"1","Before"
"67","> > > ","C4","1004","V3.fcs/scatter/live/Single Cells",99.5,58886,"1","After"
"88","> > > ","C5","1005","V2.fcs/scatter/live/Single Cells",98.8,174702,"1","Before"
"109","> > > ","C6","1005","V3.fcs/scatter/live/Single Cells",98.9,175564,"1","After"
"130","> > > ","C7","1007","V2.fcs/scatter/live/Single Cells",99.4,295835,"1","Before"
"151","> > > ","C8","1007","V3.fcs/scatter/live/Single Cells",99.5,71680,"1","After"
"172","> > > ","D1","1008","V2.fcs/scatter/live/Single Cells",99.1,163214,"1","Before"
"193","> > > ","D2","1008","V3.fcs/scatter/live/Single Cells",99,63326,"1","After"
"214","> > > ","D3","1009","V2.fcs/scatter/live/Single Cells",99.1,194386,"1","Before"
"235","> > > ","D4","1009","V3.fcs/scatter/live/Single Cells",99.2,192702,"1","After"
"277","> > > ","D6","1010","V3.fcs/scatter/live/Single Cells",99.2,145105,"1","After"
"298","> > > ","C1","1011","V2.fcs/scatter/live/Single Cells",98.3,137385,"2","Before"
"319","> > > ","C2","1011","V3.fcs/scatter/live/Single Cells",98.3,170664,"2","After"
"340","> > > ","C3","1013","V2.fcs/scatter/live/Single Cells",99.4,142196,"2","Before"
"361","> > > ","C4","1013","V3.fcs/scatter/live/Single Cells",98.2,149922,"2","After"
"382","> > > ","C5","1015","V2.fcs/scatter/live/Single Cells",98.7,197227,"2","Before"
"403","> > > ","C6","1015","V3.fcs/scatter/live/Single Cells",99.6,36729,"2","After"
"424","> > > ","C7","1016","V2.fcs/scatter/live/Single Cells",99.2,210090,"2","Before"
"445","> > > ","C8","1016","V3.fcs/scatter/live/Single Cells",99.2,28798,"2","After"
"466","> > > ","D1","1017","V2.fcs/scatter/live/Single Cells",98.8,195107,"2","Before"
"487","> > > ","D2","1017","V3.fcs/scatter/live/Single Cells",99.4,51765,"2","After"
"508","> > > ","D3","1018","V2.fcs/scatter/live/Single Cells",99.5,97527,"2","Before"
"529","> > > ","D4","1018","V3.fcs/scatter/live/Single Cells",99.3,162474,"2","After"
"550","> > > ","D5","1020","V2.fcs/scatter/live/Single Cells",99.7,70798,"2","Before"
"571","> > > ","D6","1020","V3.fcs/scatter/live/Single Cells",99.5,8978,"2","After"
"592","> > > ","D7","1021","V2.fcs/scatter/live/Single Cells",99.7,141513,"2","Before"
"613","> > > ","D8","1021","V3.fcs/scatter/live/Single Cells",99.3,57926,"2","After"
"634","> > > ","C1","1012","V2.fcs/scatter/live/Single Cells",99.7,350920,"3","Before"
"655","> > > ","C2","1012","V3.fcs/scatter/live/Single Cells",99.7,103523,"3","After"
"676","> > > ","C3","1023","V2.fcs/scatter/live/Single Cells",99.8,160152,"3","Before"
"697","> > > ","C4","1023","V3.fcs/scatter/live/Single Cells",99.6,126856,"3","After"
"718","> > > ","C5","1025","V2.fcs/scatter/live/Single Cells",99.5,328278,"3","Before"
"739","> > > ","C6","1025","V3.fcs/scatter/live/Single Cells",99.3,241079,"3","After"
"760","> > > ","C7","1027","V2.fcs/scatter/live/Single Cells",99.8,174065,"3","Before"
"781","> > > ","C8","1027","V3.fcs/scatter/live/Single Cells",99.4,368546,"3","After"
"802","> > > ","D1","1028","V2.fcs/scatter/live/Single Cells",99.4,289816,"3","Before"
"823","> > > ","D2","1028","V3.fcs/scatter/live/Single Cells",99.4,196604,"3","After"
"844","> > > ","D3","1029","V2.fcs/scatter/live/Single Cells",99.6,285677,"3","Before"
"865","> > > ","D4","1029","V3.fcs/scatter/live/Single Cells",99.2,357641,"3","After"
"886","> > > ","D5","1030","V2.fcs/scatter/live/Single Cells",99.5,274554,"3","Before"
"907","> > > ","D6","1030","V3.fcs/scatter/live/Single Cells",99.1,289783,"3","After"
"928","> > > ","D7","1031","V2.fcs/scatter/live/Single Cells",99.7,245492,"3","Before"
"949","> > > ","D8","1031","V3.fcs/scatter/live/Single Cells",99.6,224997,"3","After"
